【Unit Original】

Count: 107

---- Title | Artist | Lyricist | Composer | Arranger | Released | Event | Category | Jacket | Preview Audio | Vocal Version ----
Realize | Hiiragi Magnetite | Hiiragi Magnetite / C'Na | Hiiragi Magnetite / C'Na | Hiiragi Magnetite / Yukino Ito | 2024-08-20 | On Your Feet |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_356/jacket_s_356.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0356_01/vs_0356_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
Retainer Supplanting His Lord | Misumi | Misumi | Misumi | Misumi | 2024-06-10 | Light Up the Fire |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_373/jacket_s_373.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0373_01/vs_0373_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Teammates | HoneyWorks | HoneyWorks | HoneyWorks | HoneyWorks | 2024-06-20 | Step by Step! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_374/jacket_s_374.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0374_01/vs_0374_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Hoshi wo Tsunagu | 40mP x Hifumi (12340mP) | Hifumi | 40mP | 40mP x Hifumi (12340mP) | 2024-07-21 | Our Constellation of Song |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_375/jacket_s_375.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0375_01/vs_0375_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
purpose | doriko | doriko | doriko | doriko | 2024-10-30 | Stick to Your Faith |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_383/jacket_s_383.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0383_01/vs_0383_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Kirapipi☆Kirapika | nyanyannya (DAITENSAI P) | nyanyannya (DAITENSAI P) | nyanyannya (DAITENSAI P) | nyanyannya (DAITENSAI P) | 2024-08-21 | Our Happy Ending |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_386/jacket_s_386.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0386_01/vs_0386_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
filament fever | Kuriyama Yuri | Kuriyama Yuri | Kuriyama Yuri | Kuriyama Yuri | 2024-11-29 | Star of Your Own Story |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_397/jacket_s_397.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0397_01/vs_0397_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
blender | komedawara×R Sound Design | komedawara×R Sound Design | komedawara×R Sound Design | komedawara×R Sound Design | 2025-03-29 | The First Concerto |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_404/jacket_s_404.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0404_01/vs_0404_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
Passion at 25:00 | Iori Kanzaki | Iori Kanzaki | Iori Kanzaki | Iori Kanzaki | 2024-12-30 | The Way I Played That Day |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_409/jacket_s_409.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0409_01/vs_0409_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
CRAZY | Umetora | Umetora | Umetora | - | 2024-10-12 | Burn My Soul |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_421/jacket_s_421.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0421_01/vs_0421_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
JUMPIN' OVER ! | r-906 | r-906 | r-906 | r-906 | 2025-02-27 | From the Marks Left Behind |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_422/jacket_s_422.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0422_01/vs_0422_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
Regulus | Yuuyu | Yuuyu | Yuuyu | Yuuyu | 2025-02-19 | Lead With Courage and Kindness |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_423/jacket_s_423.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0423_01/vs_0423_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
Hug | MIMI | MIMI | MIMI | - | 2024-10-31 | The Warmth of a Guiding Hand |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_429/jacket_s_429.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0429_01/vs_0429_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver. / Cover ver.
Suresure | Scop | Scop | Scop | Scop | 2025-04-29 | Parallel Harmonies |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_442/jacket_s_442.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0442_01/vs_0442_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Opera! Space Opera! | NayutalieN | NayutalieN | NayutalieN | NayutalieN | 2025-05-30 | Perspective for Smile |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_450/jacket_s_450.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0450_01/vs_0450_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
CYBER PUNK DEAD BOY | Maiki P | Maiki P | Maiki P | Maiki P | 2025-01-23 | Backlight, Lens Flare |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_452/jacket_s_452.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0452_01/vs_0452_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Supernova | Yunosuke x Haruno | Haruno | Yunosuke, Haruno | Yunosuke, Haruno | 2025-06-19 | Lead to Shine More |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_457/jacket_s_457.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0457_01/vs_0457_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver. / Cover ver.
ULTRA C | Giga & TeddyLoid | Reol | Giga & TeddyLoid | Giga & TeddyLoid | 2025-07-08 | Over Rad Squad!! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_471/jacket_s_471.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0471_01/vs_0471_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
SEIBAIITAAAAASU! | Wonderful★Opportunity! | Jizasu-P | Jizasu-P | Wonderful★Opportunity! | 2025-07-16 | Halt! Tenma's on the Case |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_472/jacket_s_472.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0472_01/vs_0472_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
KILLER | Natsushiro Takaaki | Natsushiro Takaaki | Natsushiro Takaaki | Heavenz | 2025-08-08 | Chase My Ideal Idol! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_474/jacket_s_474.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0474_01/vs_0474_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
FUEL | Utsu-P | Utsu-P | Utsu-P | Utsu-P | 2025-10-30 | Rekindle the Flame |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_478/jacket_s_478.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0478_01/vs_0478_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
I'm the Rain | inabakumori | inabakumori | inabakumori | inabakumori | 2025-04-10 | Knowing the Unseen |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_492/jacket_s_492.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0492_01/vs_0492_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
Blazing | niki | niki | niki | niki | 2025-04-30 | Whip Yourself into Shape! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_497/jacket_s_497.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0497_01/vs_0497_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Hashiru! Tooku! Todoku! | Usushioshisuu | Usushioshisuu | Usushioshisuu | Usushioshisuu | 2025-12-20 | Grow Glorious Glow |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_498/jacket_s_498.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0498_01/vs_0498_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
Yokanimitorete | keeno | keeno | keeno | keeno | 2025-12-10 | With Our Wounded Hands |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_500/jacket_s_500.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0500_01/vs_0500_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
Empurple | HarumakiGohan | HarumakiGohan | HarumakiGohan | HarumakiGohan | 2025-06-20 | A Light Drawn Closer |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_507/jacket_s_507.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0507_01/vs_0507_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
HAVEN | NILFRUITS | NILFRUITS | NILFRUITS | NILFRUITS | 2026-01-20 | Time to Take Off! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_508/jacket_s_508.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0508_01/vs_0508_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
Still, we never stop singing | Go Aoki | Go Aoki | Go Aoki | Go Aoki | 2025-09-20 | This Moment With You! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_524/jacket_s_524.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0524_01/vs_0524_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
All-Save Challenge | Moimi Kashii | Moimi Kashii | Moimi Kashii | Moimi Kashii | 2026-04-29 | Choices for the Future |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_538/jacket_s_538.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0538_01/vs_0538_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
Eleventh | Police Piccadilly | Police Piccadilly | Police Piccadilly | Police Piccadilly | 2026-05-30 | Cheer With My Heart! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_539/jacket_s_539.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0539_01/vs_0539_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
Mx.Nihil | ¿?shimon | ¿?shimon | ¿?shimon | ¿?shimon | 2026-05-07 | The Stopped Hand Moves Once More |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_540/jacket_s_540.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0540_01/vs_0540_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
Sono Oto ga Narunara | Ishifuro | Ishifuro | Ishifuro | Ishifuro | 2025-10-31 | Happy Enjoy Music! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_546/jacket_s_546.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0546_01/vs_0546_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Bokuno Kamisama | Maigo Hanyuu | Maigo Hanyuu | Maigo Hanyuu | Maigo Hanyuu | 2025-11-20 | The Power of Regret |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_548/jacket_s_548.png | https://storage.sekai.best/sekai-en-assets/music/short/se_0548_01/se_0548_01_short.mp3 | SEKAI ver. / Cover ver.
BAKENOHANA | NAKISO | NAKISO | NAKISO | NAKISO | 2025-10-12 | Whither This Path of Thorns |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_549/jacket_s_549.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0549_01/vs_0549_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
EYELID | nulut | nulut | nulut | nulut | 2026-07-14 | Deeper and Deeper |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_560/jacket_s_560.png | https://storage.sekai.best/sekai-en-assets/music/short/se_0560_01/se_0560_01_short.mp3 | SEKAI ver.
Embellish | Parsley Onuma | Parsley Onuma | Parsley Onuma | Parsley Onuma | 2026-08-28 | Tying Tomorrow's Ribbon |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_572/jacket_s_572.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0572_01/vs_0572_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
Anti you | Chinozo | Chinozo | Chinozo | Chinozo | 2026-02-10 | Rise and Strive |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_582/jacket_s_582.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0582_01/vs_0582_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Accelerate | Yoshida Yasei | Yoshida Yasei | Yoshida Yasei | Yoshida Yasei | 2026-08-07 | Competitive Fire! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_583/jacket_s_583.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0583_01/vs_0583_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
D/N/A | Azari | Azari | Azari | Azari | 2026-03-20 | Unreliable Notes |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_596/jacket_s_596.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0596_01/vs_0596_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / VIRTUAL SINGER ver.
Sympathy | Eve | Eve | Eve | Numa | 2026-03-30 | Find the Dream View |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_605/jacket_s_605.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0605_01/vs_0605_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
Voice of The Beam | Guiano | Guiano | Guiano | Guiano | 2026-05-31 | Aim Higher and Higher! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_634/jacket_s_634.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0634_01/vs_0634_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
Our True Story | Noboru | Noboru | Noboru | Noboru | 2026-07-23 | Start Rolling! Stars' Crossing |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_635/jacket_s_635.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0635_01/vs_0635_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
Transparent Palette | Aqu3ra | Aqu3ra | Aqu3ra | Aqu3ra | 2026-07-15 | Unsteady, Still Steady Step |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_646/jacket_s_646.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0646_01/vs_0646_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
Goodbye heaven | john | john | john | john | 2026-08-30 | Deep Dark for Light |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_649/jacket_s_649.png | https://storage.sekai.best/sekai-en-assets/music/short/se_0649_01/se_0649_01_short.mp3 | SEKAI ver.
