【Unit Original】

Count: 107

---- Title | Artist | Lyricist | Composer | Arranger | Released | Event | Category | Jacket | Preview Audio | Vocal Version ----
「1」 | 164 | 164 | 164 | 164 | 2022-05-09 | Resonating with you |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_132/jacket_s_132.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0132_01/vs_0132_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver. / Cover ver.
icedrop | Aqu3ra | Aqu3ra | Aqu3ra | Aqu3ra | 2022-08-19 | Happy Lovely Everyday! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_140/jacket_s_140.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0140_01/vs_0140_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
Reborn | Picon | Picon | Picon | Picon | 2022-09-30 | Mirage of Light |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_142/jacket_s_142.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0142_01/vs_0142_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Love material | Junky | Junky | Junky | Junky | 2022-06-02 | You deserve it! Break Time! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_144/jacket_s_144.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0144_01/vs_0144_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
Kanadetomosusora | Sasanomaly | Sasanomaly | Sasanomaly | Sasanomaly | 2022-06-26 | Carnation Recollection |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_149/jacket_s_149.png | https://storage.sekai.best/sekai-en-assets/music/short/se_0149_01/se_0149_01_short.mp3 | SEKAI ver. / Cover ver. / Cover ver. / Cover ver. / Cover ver. / VIRTUAL SINGER ver.
Beat Eater | Police Piccadilly | Police Piccadilly | Police Piccadilly | Police Piccadilly | 2022-07-12 | Awakening Beat |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_156/jacket_s_156.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0156_01/vs_0156_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver. / Cover ver. / Cover ver. / Cover ver.
STAGE OF SEKAI | Tsubasa Harihara (Harry P) | Tsubasa Harihara (Harry P) | Tsubasa Harihara (Harry P) | Tanahashi EDDY Teruaki | 2022-11-17 | Putting Feelings Into Words |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_159/jacket_s_159.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0159_01/vs_0159_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver. / Cover ver. / Cover ver. / Cover ver.
Glory Steady Go! | kinoshita | kinoshita | kinoshita | kinoshita | 2022-08-20 | Mermaid Admiration |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_166/jacket_s_166.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0166_01/vs_0166_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver.
Pulse of the Meteor | *Luna | *Luna | *Luna | *Luna | 2022-09-09 | A Bright Future!! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_173/jacket_s_173.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0173_01/vs_0173_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Theme of Niccori Survey Team | Wonderful★Opportunity! | Jizasu-P | Jizasu-P | Wonderful★Opportunity! | 2023-01-20 | Popping in My Heart! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_178/jacket_s_178.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0178_01/vs_0178_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
